iter,loss,lam,force,beta,acc32,acc64,acc96,acc128,acc192,acc256,acc_test,age,secs
0,0.713625,-0.052,12.00,0.349,0.1250,0.1172,0.1250,0.1406,0.1484,0.1484,0.1484,1,2
100,0.705644,-0.096,13.56,0.349,0.1641,0.1641,0.1719,0.1875,0.1641,0.1562,0.1562,48,122
200,0.719353,-0.096,14.75,0.374,0.1875,0.1016,0.0859,0.0859,0.0859,0.0938,0.0938,51,245
