iter,loss,best,lam,force,beta,bit32,bit64,bit96,bit128,bit192,bit256,ex32,ex64,ex96,ex128,ex192,ex256,bit_test,exact_test,bit_s9,bit_s17,exact_s9,exact_s17,age,secs
1000,0.013148,0.011681,0.759,22.16,0.709,0.8250,0.8187,0.8187,0.8187,0.3688,0.2125,0.2812,0.2812,0.2812,0.2812,0.0938,0.0312,0.2375,0.0000,0.2830,0.2426,0.0000,0.0000,45,242
1100,0.013411,0.011681,0.000,22.85,0.731,0.8313,0.8250,0.8250,0.8313,0.7125,0.4188,0.3438,0.3125,0.2812,0.2812,0.2500,0.1250,0.4188,0.1562,0.2830,0.2426,0.0000,0.0000,36,276
1200,0.012752,0.011681,0.536,23.99,0.794,0.8313,0.8250,0.8250,0.8375,0.8375,0.8187,0.4062,0.3125,0.2812,0.2812,0.2812,0.2812,0.7875,0.2500,0.2830,0.2426,0.0000,0.0000,37,298
1300,0.012805,0.011681,0.000,24.18,0.801,0.8500,0.8313,0.8313,0.8375,0.8063,0.8000,0.4375,0.3750,0.3125,0.3125,0.2812,0.2500,0.7812,0.2500,0.2830,0.2426,0.0000,0.0000,40,320
1400,0.012778,0.011633,0.930,24.97,0.832,0.8500,0.8250,0.8313,0.8313,0.8000,0.8063,0.3750,0.2812,0.2812,0.2812,0.2812,0.2812,0.7312,0.2500,0.2830,0.2426,0.0000,0.0000,45,341
1500,0.013619,0.011578,0.000,26.11,0.871,0.8375,0.8187,0.8187,0.8187,0.8187,0.8000,0.3125,0.2812,0.2812,0.2812,0.2812,0.2812,0.7625,0.2500,0.7500,0.7243,0.1250,0.0000,37,363
1600,0.012501,0.011578,0.000,26.46,0.877,0.8375,0.8187,0.8187,0.8313,0.7688,0.7063,0.3125,0.2812,0.2812,0.2812,0.2188,0.2188,0.6813,0.1562,0.7500,0.7243,0.1250,0.0000,40,396
1700,0.012702,0.011578,0.000,26.81,0.895,0.8438,0.8187,0.8187,0.8125,0.8063,0.6937,0.3438,0.2812,0.2812,0.2812,0.2812,0.2500,0.7125,0.2188,0.7500,0.7243,0.1250,0.0000,45,418
1800,0.012783,0.011578,0.000,26.39,0.865,0.8313,0.8187,0.8187,0.8187,0.3563,0.3438,0.2812,0.2812,0.2812,0.2812,0.0938,0.0938,0.3375,0.0938,0.7500,0.7243,0.1250,0.0000,40,439
1900,0.012548,0.011578,0.000,27.21,0.871,0.8438,0.8313,0.8250,0.8187,0.8125,0.7312,0.3438,0.2812,0.2812,0.2812,0.2812,0.2812,0.7188,0.2188,0.7500,0.7243,0.1250,0.0000,41,460
2000,0.011954,0.007199,0.000,26.44,0.836,0.8187,0.8187,0.8187,0.8187,0.7562,0.6188,0.2812,0.2812,0.2812,0.2812,0.2812,0.2188,0.6375,0.2500,0.6250,0.5588,0.0938,0.0000,41,482
2100,0.006341,0.003403,-1.733,26.50,0.833,0.8500,0.8313,0.8500,0.8375,0.7375,0.6500,0.3750,0.3125,0.4375,0.3750,0.3125,0.2188,0.6875,0.2500,0.6250,0.5588,0.0938,0.0000,38,516
2200,0.008458,0.003403,0.270,26.18,0.823,0.8688,0.8688,0.8438,0.8500,0.6813,0.5750,0.4375,0.5000,0.4062,0.4062,0.2500,0.2500,0.6687,0.3438,0.6250,0.5588,0.0938,0.0000,44,537
2300,0.007231,0.003403,0.000,26.09,0.820,0.8938,0.8812,0.8438,0.8562,0.8562,0.7312,0.6250,0.5625,0.4375,0.5000,0.4688,0.3438,0.7500,0.2812,0.6250,0.5588,0.0938,0.0000,44,558
2400,0.007399,0.003403,0.000,26.26,0.823,0.9062,0.9062,0.8438,0.8187,0.5375,0.3937,0.6250,0.5938,0.3438,0.2812,0.1250,0.0938,0.4125,0.0625,0.6250,0.5588,0.0938,0.0000,41,580
2500,0.003547,0.003403,0.000,26.49,0.826,0.8875,0.8875,0.8938,0.8562,0.8250,0.7375,0.5938,0.5625,0.5625,0.4688,0.4062,0.3125,0.7312,0.2812,0.7483,0.7298,0.1250,0.0000,41,601
2600,0.004694,0.003308,-0.693,26.78,0.842,0.8938,0.9250,0.8812,0.8812,0.8250,0.8000,0.5000,0.7188,0.5625,0.5625,0.4062,0.3750,0.7625,0.3438,0.7483,0.7298,0.1250,0.0000,41,635
2700,0.003653,0.002868,0.000,26.72,0.843,0.9187,0.9250,0.9062,0.8688,0.8125,0.7937,0.6250,0.6875,0.6875,0.5000,0.4375,0.4062,0.7312,0.1875,0.7483,0.7298,0.1250,0.0000,35,658
2800,0.003885,0.002868,-1.040,27.10,0.856,0.9187,0.9125,0.9250,0.9125,0.8562,0.8125,0.6875,0.6875,0.7188,0.6562,0.5000,0.3438,0.8000,0.3750,0.7483,0.7298,0.1250,0.0000,42,680
2900,0.004194,0.002725,-1.733,26.89,0.855,0.9125,0.8938,0.9125,0.8875,0.8562,0.8375,0.6875,0.6250,0.6562,0.5312,0.3750,0.3438,0.7812,0.2500,0.7483,0.7298,0.1250,0.0000,38,702
3000,0.003509,0.002552,0.000,27.97,0.896,0.9500,0.9250,0.9250,0.9000,0.8562,0.8250,0.7812,0.6875,0.7188,0.6562,0.5312,0.4688,0.7688,0.3438,0.7882,0.7822,0.2188,0.0469,38,724
3100,0.002897,0.002552,0.000,27.55,0.887,0.9500,0.9437,0.9375,0.8812,0.8125,0.3500,0.7812,0.7812,0.7500,0.4688,0.3750,0.0625,0.3750,0.0000,0.7882,0.7822,0.2188,0.0469,38,756
3200,0.004305,0.002477,0.000,28.96,0.912,0.9563,0.9563,0.9313,0.9250,0.9125,0.8750,0.8125,0.8125,0.7188,0.7188,0.6875,0.5625,0.8250,0.3125,0.7882,0.7822,0.2188,0.0469,43,778
3300,0.003024,0.002231,0.000,29.60,0.947,0.9750,0.9688,0.9563,0.9375,0.8688,0.8187,0.8750,0.8438,0.8438,0.7500,0.5625,0.4062,0.7937,0.2812,0.7882,0.7822,0.2188,0.0469,35,801
3400,0.002492,0.001986,0.000,30.06,0.957,0.9750,0.9688,0.9688,0.9500,0.8875,0.8000,0.8750,0.8750,0.8750,0.8125,0.5625,0.3438,0.7188,0.2812,0.7882,0.7822,0.2188,0.0469,39,822
