iter,loss,best,lam,force,beta,h16,h32,h64,h128,h256,h512,age,secs
5200,0.005242,0.002386,0.160,13.81,0.338,0.013304,0.002611,0.003443,0.003453,0.003776,0.005791,245,6037
5300,0.002950,0.002314,0.115,13.66,0.333,0.012978,0.002155,0.002268,0.002997,0.005251,0.006686,252,6216
5400,0.003398,0.002314,0.119,13.62,0.330,0.013381,0.002169,0.002232,0.003406,0.006118,0.006578,293,6395
5500,0.004268,0.002314,0.144,13.51,0.326,0.012184,0.002246,0.002452,0.003232,0.009045,0.009954,288,6581
5600,0.003714,0.002247,0.101,13.21,0.324,0.013061,0.002347,0.002735,0.004275,0.006268,0.009316,290,6758
5700,0.003342,0.002171,0.097,13.16,0.317,0.012246,0.002063,0.002178,0.003371,0.008136,0.007916,252,6938
5800,0.005798,0.002171,0.084,13.08,0.311,0.014427,0.002595,0.003498,0.006743,0.010933,0.013988,257,7119
5900,0.004322,0.002171,0.090,13.16,0.312,0.014832,0.002496,0.002409,0.003380,0.009302,0.012979,253,7296
6000,0.003973,0.002143,0.012,13.22,0.315,0.013699,0.001984,0.002337,0.002646,0.004572,0.006761,273,7482
6100,0.003867,0.002091,0.039,13.15,0.306,0.014217,0.002047,0.002367,0.004072,0.007821,0.010526,280,7668
6200,0.003608,0.002091,0.052,13.06,0.303,0.013845,0.002133,0.002213,0.002675,0.005883,0.005134,299,7850
6300,0.004011,0.002091,0.045,13.07,0.306,0.012147,0.002229,0.002244,0.002960,0.005865,0.009747,321,8031
6400,0.003593,0.002091,0.094,13.09,0.308,0.011973,0.001969,0.002071,0.002543,0.004780,0.006200,316,8214
6500,0.003589,0.002056,0.030,13.13,0.306,0.012641,0.001942,0.001989,0.002966,0.004995,0.007603,291,8395
6600,0.003817,0.002001,0.049,13.35,0.303,0.012774,0.002012,0.002469,0.003575,0.005640,0.007045,273,8577
6700,0.002078,0.002001,0.101,13.48,0.302,0.011056,0.002094,0.002137,0.003451,0.007191,0.010415,265,8761
6800,0.004876,0.002001,0.073,13.39,0.298,0.011120,0.002318,0.002284,0.003371,0.006385,0.005783,295,8946
